Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
APP0043,164966,3747,Business,49,Married,3,597,0,0.27,389462,476827,3985565,180,Business,Urban,Postgraduate,Male,Self,0
APP0044,36709,79415,Salaried,23,Single,4,481,0,0.11,242307,436401,4535136,84,Personal,Semi-Urban,Undergraduate,Female,Private,0
APP0045,138428,78553,Self-Employed,30,Single,0,633,4,0.45,454426,601082,2636849,120,Personal,Rural,Postgraduate,Female,Govt,0
APP0046,35210,24815,Salaried,21,Married,1,810,1,0.05,450170,1013567,1373659,360,Home,Urban,Graduate,Male,Govt,1
APP0047,122081,24714,Salaried,46,Married,3,682,1,0.34,116145,1124251,2513448,24,Business,Semi-Urban,Graduate,Female,Govt,1
APP0048,189746,18890,Salaried,32,Married,3,498,2,0.17,410060,1877333,4622763,60,Home,Semi-Urban,Undergraduate,Male,Private,0
APP0049,120025,61509,Salaried,34,Married,3,631,4,0.43,210202,40503,3435162,120,Business,Rural,Graduate,Male,Govt,0
APP0050,168805,61824,Business,45,Married,0,464,4,0.64,18418,1854522,1074204,240,Business,Rural,Undergraduate,Male,Private,0
APP0051,171152,4725,Self-Employed,28,Married,2,541,2,0.33,170926,580484,2388299,12,Education,Urban,Postgraduate,Male,Private,0
APP0052,144476,43205,Business,24,Married,4,526,2,0.54,486860,1986997,448488,36,Education,Urban,Undergraduate,Male,Self,0
APP0053,190781,20684,Business,48,Married,2,855,0,0.35,474171,1929641,1253913,84,Home,Rural,Postgraduate,Female,Private,1
APP0054,79846,57911,Self-Employed,27,Single,4,750,4,0.35,93075,1754055,2401895,120,Business,Semi-Urban,Undergraduate,Female,Self,0
APP0055,85480,13092,Business,30,Single,4,495,4,0.61,442166,607612,3700676,84,Personal,Semi-Urban,Graduate,Female,Private,0
APP0056,72960,39770,Salaried,56,Single,3,503,2,0.58,332371,418277,655848,12,Education,Semi-Urban,Postgraduate,Male,Govt,0
APP0057,192224,25457,Salaried,22,Married,1,757,3,0.52,411051,1713883,1692147,48,Personal,Semi-Urban,Graduate,Male,Private,0
APP0058,178322,71667,Salaried,46,Married,3,556,3,0.23,284677,1522872,59297,84,Home,Rural,Graduate,Female,Private,0
APP0059,105765,62894,Salaried,34,Single,0,828,0,0.38,493267,347694,3062417,180,Education,Rural,Postgraduate,Male,Private,1
APP0060,137265,61305,Salaried,36,Married,4,571,3,0.18,368601,866763,2080829,360,Education,Semi-Urban,Undergraduate,Male,Private,0
APP0061,68137,12612,Salaried,37,Married,1,308,3,0.32,374648,1212280,4899246,48,Business,Urban,Undergraduate,Male,Self,0
APP0062,138922,78627,Self-Employed,42,Married,4,500,3,0.34,223930,150424,1288831,120,Home,Rural,Postgraduate,Female,Private,0
APP0063,141280,37089,Salaried,24,Single,4,358,1,0.55,408439,1334373,661282,36,Business,Urban,Graduate,Male,Private,0
APP0064,197484,52137,Salaried,39,Single,3,692,0,0.59,129202,198187,1892653,180,Education,Urban,Graduate,Male,Self,0
APP0065,63876,559,Salaried,22,Married,1,418,2,0.3,15273,883726,643982,12,Home,Rural,Postgraduate,Female,Govt,0
APP0066,114547,66249,Salaried,59,Married,1,852,3,0.06,38519,568043,4941437,48,Education,Urban,Graduate,Male,Private,0
APP0067,70227,37361,Self-Employed,29,Single,4,698,1,0.57,160232,1939304,3474658,180,Home,Urban,Graduate,Male,Private,0
APP0068,183522,15261,Salaried,39,Married,1,630,3,0.15,394168,1671218,4284997,360,Education,Urban,Graduate,Male,Self,0
APP0069,104433,20372,Business,36,Single,1,566,1,0.42,472601,334132,469794,48,Personal,Rural,Graduate,Male,Self,0
APP0070,93704,55355,Self-Employed,45,Single,3,819,0,0.06,391684,824353,2741142,24,Personal,Semi-Urban,Graduate,Female,Self,1
APP0071,26861,57920,Salaried,38,Single,2,779,3,0.29,489408,452219,3542717,24,Business,Semi-Urban,Graduate,Male,Govt,0
APP0072,81914,32544,Salaried,43,Married,0,433,1,0.64,185060,1522668,4702328,48,Personal,Urban,Graduate,Male,Self,0
APP0073,83888,37,Self-Employed,41,Married,2,654,4,0.11,408564,833100,570436,48,Education,Rural,Graduate,Female,Private,0
APP0074,99286,43032,Self-Employed,31,Married,1,883,4,0.3,88460,1365895,2141526,24,Education,Rural,Undergraduate,Female,Private,0
APP0075,81293,78233,Self-Employed,59,Single,4,797,1,0.23,253792,1751674,2704979,120,Personal,Urban,Graduate,Female,Govt,1
APP0076,88515,41420,Self-Employed,24,Single,0,406,3,0.59,109471,1364172,3846568,84,Business,Semi-Urban,Graduate,Male,Private,0
APP0077,174596,34600,Salaried,45,Married,0,589,3,0.57,109668,199395,192512,36,Personal,Urban,Postgraduate,Male,Self,0
APP0078,27065,48285,Salaried,52,Married,4,446,0,0.19,334663,308293,3086753,180,Home,Rural,Graduate,Female,Self,0
APP0079,188756,62008,Salaried,50,Single,0,626,0,0.1,357570,1293541,1827639,180,Home,Semi-Urban,Undergraduate,Female,Private,0
APP0080,108720,5167,Business,46,Single,4,714,2,0.43,19629,802271,4402183,12,Home,Rural,Postgraduate,Male,Govt,0
APP0081,184437,432,Self-Employed,56,Single,0,509,0,0.25,316200,520724,750662,36,Personal,Urban,Graduate,Male,Private,0
APP0082,78876,69687,Salaried,54,Married,2,595,3,0.45,278417,1575019,713399,60,Personal,Rural,Graduate,Male,Self,0
APP0083,174776,71947,Salaried,29,Married,0,697,2,0.07,125484,1448811,4754250,24,Personal,Rural,Undergraduate,Female,Private,1
APP0084,156694,50903,Salaried,32,Single,3,402,0,0.13,102275,1627376,1956847,60,Home,Semi-Urban,Undergraduate,Male,Private,0
APP0085,103797,54149,Salaried,22,Single,4,807,1,0.46,438632,1503482,1326828,360,Business,Rural,Graduate,Male,Govt,0
APP0086,111141,56768,Self-Employed,58,Married,0,508,4,0.18,143966,1921158,3574673,36,Education,Urban,Postgraduate,Male,Private,0
APP0087,122390,60184,Self-Employed,25,Married,4,727,0,0.56,51073,650329,4214513,240,Personal,Urban,Graduate,Female,Private,0
APP0088,116856,65792,Business,25,Married,3,692,0,0.09,50693,1336910,1995853,12,Business,Semi-Urban,Undergraduate,Female,Self,1
APP0089,86201,33439,Salaried,42,Married,0,408,1,0.18,187538,499127,2726853,48,Education,Semi-Urban,Graduate,Male,Private,1
APP0090,183766,33257,Salaried,25,Married,0,647,3,0.65,291487,1321648,640246,360,Education,Semi-Urban,Undergraduate,Female,Private,0
APP0091,109766,44674,Self-Employed,24,Single,3,349,1,0.31,48095,310569,3751291,84,Education,Urban,Postgraduate,Female,Private,0
APP0092,42995,51248,Self-Employed,29,Married,3,404,0,0.47,167246,1646998,3535393,240,Business,Semi-Urban,Postgraduate,Male,Govt,0
APP0093,112320,45371,Self-Employed,49,Single,3,719,3,0.16,449017,634163,4862835,36,Business,Urban,Postgraduate,Male,Self,0
APP0094,100141,67996,Self-Employed,42,Married,4,672,2,0.42,127388,217189,1877346,36,Home,Semi-Urban,Graduate,Male,Private,0
APP0095,159491,37297,Salaried,47,Single,3,326,0,0.49,245787,648552,4228010,60,Business,Semi-Urban,Graduate,Female,Private,0
APP0096,199024,54273,Salaried,30,Single,4,572,1,0.24,208508,1228622,367332,120,Business,Semi-Urban,Graduate,Male,Private,0
APP0097,184909,61256,Salaried,36,Married,2,639,2,0.55,119441,372335,4466728,60,Business,Urban,Graduate,Male,Private,0
APP0098,90799,34743,Salaried,30,Married,0,600,4,0.41,467552,1228391,3664430,180,Education,Semi-Urban,Postgraduate,Female,Private,0
APP0099,199949,68752,Salaried,26,Married,0,779,2,0.28,105782,472671,4948714,60,Personal,Urban,Graduate,Male,Private,1
APP0100,65687,79803,Salaried,25,Married,1,843,1,0.38,263019,1938724,885681,120,Home,Urban,Graduate,Female,Private,1
APP0101,57276,75117,Self-Employed,26,Single,2,856,2,0.4,244343,1047697,2705687,84,Personal,Rural,Undergraduate,Male,Private,0
APP0102,54523,70051,Salaried,45,Single,3,564,1,0.15,441142,201107,513378,360,Personal,Rural,Undergraduate,Male,Govt,0
APP0103,74615,22076,Salaried,24,Married,3,841,0,0.29,339734,955181,4970347,24,Business,Urban,Undergraduate,Female,Private,1
APP0104,30514,75312,Business,52,Married,2,895,3,0.26,437043,580609,1347983,36,Home,Rural,Undergraduate,Female,Govt,0
APP0105,67456,2963,Salaried,55,Married,3,465,4,0.29,113263,1424502,317587,48,Personal,Rural,Graduate,Male,Private,0
APP0106,27233,72322,Salaried,30,Single,1,615,3,0.51,442991,109398,3851167,60,Personal,Rural,Graduate,Female,Self,0
APP0107,21102,13866,Self-Employed,54,Married,4,300,3,0.34,439417,1369693,1242549,240,Home,Urban,Postgraduate,Female,Self,0
APP0108,86133,32305,Salaried,56,Married,0,560,3,0.61,296517,1625278,4443135,84,Business,Rural,Postgraduate,Male,Private,1
APP0109,66715,62403,Salaried,26,Single,2,362,1,0.23,294669,418818,4418108,12,Personal,Urban,Graduate,Female,Private,0
APP0110,130545,32813,Salaried,36,Single,0,782,1,0.3,394860,1297325,300278,36,Education,Urban,Undergraduate,Male,Govt,1
APP0111,124085,66729,Salaried,39,Married,4,620,4,0.52,371657,1340412,198579,120,Personal,Urban,Graduate,Male,Private,0
APP0112,129101,60686,Business,54,Single,2,500,1,0.38,470867,368102,4588233,180,Education,Semi-Urban,Graduate,Male,Self,0
APP0113,157328,4512,Self-Employed,45,Married,4,521,1,0.38,134401,1359470,3453154,120,Business,Urban,Postgraduate,Female,Govt,0
APP0114,128684,22666,Self-Employed,51,Married,3,451,1,0.08,101643,1034416,4541839,60,Personal,Urban,Postgraduate,Female,Private,0
APP0115,84800,16630,Business,37,Single,3,761,1,0.29,166558,1463552,3754187,360,Home,Urban,Postgraduate,Male,Self,1
APP0116,114937,74519,Self-Employed,50,Single,3,516,0,0.21,476820,1379176,3989645,180,Home,Rural,Graduate,Male,Self,0
APP0117,61548,636,Salaried,59,Married,4,495,4,0.65,154712,1859093,1995112,240,Personal,Rural,Undergraduate,Male,Govt,0
APP0118,193439,3775,Business,51,Married,4,501,1,0.24,364838,285069,1324968,120,Business,Urban,Graduate,Male,Private,0
APP0119,148845,67957,Salaried,39,Married,4,533,4,0.58,197527,792047,4766123,240,Business,Rural,Graduate,Female,Govt,0
APP0120,133815,64591,Self-Employed,55,Married,0,440,2,0.46,41136,1872091,2389326,12,Home,Rural,Undergraduate,Female,Govt,0
APP0121,147602,78561,Business,49,Married,4,797,0,0.25,460641,514004,140153,240,Personal,Rural,Undergraduate,Male,Self,0
APP0122,146270,74816,Salaried,21,Married,3,854,1,0.38,61539,1421484,4855742,36,Business,Urban,Undergraduate,Female,Self,1
APP0123,146320,11351,Salaried,24,Married,1,356,0,0.55,217736,1510111,2236516,84,Home,Semi-Urban,Undergraduate,Male,Private,0
APP0124,177277,55184,Salaried,48,Single,4,803,0,0.58,423158,533893,1214501,180,Education,Rural,Postgraduate,Female,Govt,0
APP0125,45570,69180,Salaried,38,Single,1,441,2,0.15,73363,897525,4254262,36,Personal,Semi-Urban,Postgraduate,Female,Self,1
APP0126,181327,73309,Self-Employed,46,Single,3,883,4,0.25,194668,1879616,1185736,48,Education,Urban,Graduate,Male,Private,1
APP0127,41182,10778,Business,39,Married,4,838,0,0.25,86526,1439508,1900501,120,Education,Semi-Urban,Graduate,Male,Private,1
APP0128,59373,12501,Salaried,26,Single,0,405,3,0.08,302399,19192,3369601,120,Business,Semi-Urban,Graduate,Female,Private,0
APP0129,63019,2108,Salaried,21,Single,0,464,2,0.41,198201,920835,4527647,48,Business,Semi-Urban,Graduate,Male,Govt,0
APP0130,36043,36382,Salaried,28,Single,1,514,3,0.56,483739,1886338,2386114,240,Business,Urban,Postgraduate,Male,Private,0
APP0131,196604,75787,Salaried,53,Single,0,370,2,0.28,123209,1277040,2081872,36,Personal,Urban,Graduate,Male,Private,0
APP0132,39239,23341,Salaried,41,Single,0,878,3,0.49,247723,1360669,1915501,180,Education,Rural,Graduate,Male,Govt,0
APP0133,161488,77214,Salaried,44,Married,0,389,3,0.43,460502,1116958,3506874,180,Personal,Rural,Graduate,Male,Govt,0
APP0134,154484,14367,Business,45,Married,3,527,0,0.28,91437,623521,2170883,48,Business,Urban,Postgraduate,Female,Govt,1
APP0135,101976,69868,Salaried,39,Single,0,378,0,0.13,152349,1479378,2285300,120,Education,Rural,Graduate,Female,Govt,0
APP0136,44406,12002,Salaried,49,Single,2,648,2,0.48,137715,1100819,1886079,48,Personal,Urban,Undergraduate,Male,Private,0
APP0137,21875,59949,Self-Employed,30,Single,4,545,4,0.56,383044,1411286,936358,12,Personal,Semi-Urban,Graduate,Female,Self,0
APP0138,188138,15700,Salaried,32,Married,0,571,0,0.46,290873,1369338,4896464,12,Home,Rural,Graduate,Male,Govt,0
APP0139,156824,79305,Business,53,Married,0,702,0,0.06,484839,138621,91410,12,Personal,Rural,Postgraduate,Female,Govt,1
APP0140,152425,62543,Business,27,Married,0,415,1,0.18,288962,904600,1853137,24,Business,Rural,Undergraduate,Female,Private,0
APP0141,178058,29318,Salaried,37,Single,2,734,0,0.09,70555,52494,931380,84,Personal,Urban,Graduate,Male,Self,1
APP0142,34691,27610,Salaried,30,Married,0,829,4,0.39,103979,1791909,4960736,360,Education,Rural,Postgraduate,Female,Private,0
APP0143,68075,72499,Salaried,51,Married,0,741,1,0.5,58629,286102,4472747,60,Personal,Urban,Postgraduate,Male,Private,0
APP0144,30794,73374,Salaried,26,Married,4,471,3,0.12,120296,220851,3236769,24,Home,Semi-Urban,Graduate,Male,Private,0
APP0145,167478,65226,Salaried,37,Married,2,315,3,0.55,322582,1549505,1530341,180,Education,Semi-Urban,Undergraduate,Female,Private,0
APP0146,95930,45167,Self-Employed,57,Single,2,355,1,0.38,250821,1156536,889528,240,Education,Semi-Urban,Postgraduate,Male,Govt,0
APP0147,177944,77779,Salaried,38,Single,0,890,1,0.46,276601,1151054,4683572,120,Home,Urban,Postgraduate,Male,Private,0
APP0148,61708,27939,Salaried,46,Single,2,402,1,0.63,195701,522419,2594955,240,Business,Rural,Undergraduate,Male,Private,0
APP0149,135492,61365,Salaried,36,Married,1,583,2,0.1,301066,1039339,4581867,48,Education,Urban,Undergraduate,Female,Private,1
APP0150,126629,67381,Business,28,Single,2,816,4,0.59,408036,430754,1796075,120,Business,Urban,Postgraduate,Male,Private,0
APP0151,171872,46710,Salaried,44,Married,2,577,4,0.13,430966,5833,4755143,60,Education,Semi-Urban,Undergraduate,Male,Private,0
APP0152,194469,16766,Salaried,33,Single,2,568,3,0.29,375266,1040397,1972761,60,Education,Semi-Urban,Postgraduate,Female,Govt,0
APP0153,143313,12780,Salaried,49,Married,3,699,3,0.56,107020,1465178,811752,36,Business,Rural,Postgraduate,Female,Private,0
APP0154,188981,48458,Business,52,Married,3,802,3,0.59,239618,1296629,4126372,240,Education,Urban,Postgraduate,Male,Govt,0
APP0155,41352,56221,Salaried,44,Single,3,385,0,0.35,173862,1017853,1589914,360,Business,Urban,Postgraduate,Male,Govt,0
APP0156,121975,1509,Self-Employed,36,Single,2,619,3,0.41,355549,1147917,3357408,60,Home,Rural,Graduate,Male,Private,0
APP0157,113848,34346,Self-Employed,31,Married,1,331,1,0.47,383274,1775714,939297,84,Business,Semi-Urban,Undergraduate,Male,Self,0
APP0158,166510,46874,Salaried,52,Single,2,635,3,0.55,170493,618528,3505159,36,Home,Urban,Undergraduate,Male,Self,0
APP0159,64999,26148,Self-Employed,26,Married,0,350,1,0.12,335182,894387,4727567,360,Education,Semi-Urban,Graduate,Female,Private,0
APP0160,38482,31533,Salaried,55,Married,1,378,2,0.54,254029,1466624,607715,120,Business,Semi-Urban,Undergraduate,Female,Govt,0
APP0161,183543,78467,Self-Employed,53,Married,3,473,0,0.34,218273,1257505,1617909,240,Education,Semi-Urban,Graduate,Male,Govt,0
APP0162,67279,1359,Self-Employed,38,Married,4,800,0,0.32,67325,170002,3672986,240,Business,Semi-Urban,Graduate,Male,Self,1
APP0163,129413,60313,Salaried,57,Married,1,874,4,0.3,292744,163479,3063433,360,Home,Rural,Postgraduate,Female,Private,0
APP0164,74213,20344,Salaried,33,Married,3,375,2,0.36,427610,790505,2128386,360,Home,Rural,Graduate,Male,Private,0
APP0165,133909,69778,Self-Employed,30,Married,1,615,1,0.62,215694,1852675,4074822,60,Business,Semi-Urban,Undergraduate,Female,Private,0
APP0166,33026,20601,Salaried,57,Single,1,672,2,0.38,267051,409251,1902978,120,Home,Urban,Undergraduate,Male,Private,0
APP0167,105184,19116,Salaried,46,Married,2,380,0,0.62,434387,1055308,3178662,36,Education,Rural,Postgraduate,Male,Self,0
APP0168,25435,56985,Salaried,37,Single,0,370,1,0.16,235611,1365817,2825883,84,Education,Semi-Urban,Graduate,Female,Govt,0
APP0169,159565,30782,Self-Employed,21,Married,4,370,2,0.48,328670,1052063,1062986,180,Personal,Semi-Urban,Graduate,Male,Private,0
APP0170,79321,49819,Self-Employed,45,Single,3,345,0,0.54,255520,1280136,270967,180,Home,Urban,Postgraduate,Female,Self,1
APP0171,153835,69035,Salaried,54,Married,1,346,1,0.46,18149,844134,4478929,24,Education,Rural,Undergraduate,Male,Private,0
APP0172,40389,44458,Salaried,59,Married,4,890,1,0.41,166466,782031,160949,84,Business,Semi-Urban,Postgraduate,Male,Private,0
APP0173,51498,8080,Salaried,30,Married,1,721,0,0.39,150468,357105,1225471,120,Home,Urban,Graduate,Female,Private,1
APP0174,83755,33957,Self-Employed,40,Married,0,448,1,0.57,421540,505410,4328108,120,Education,Semi-Urban,Postgraduate,Male,Self,0
APP0175,121545,13908,Salaried,27,Married,4,429,0,0.54,183270,1657971,1829182,36,Home,Rural,Postgraduate,Female,Govt,0
APP0176,55825,78287,Self-Employed,36,Single,3,755,3,0.12,480921,1995155,4945201,240,Business,Urban,Postgraduate,Male,Private,1
APP0177,36934,47482,Salaried,57,Single,1,804,3,0.56,117168,107721,2144035,24,Education,Rural,Graduate,Male,Govt,1
APP0178,25574,38314,Business,49,Single,0,543,1,0.3,114813,333175,4717217,36,Personal,Semi-Urban,Postgraduate,Female,Private,0
APP0179,150698,74921,Salaried,32,Single,4,773,1,0.2,358923,1394937,4865949,24,Personal,Semi-Urban,Postgraduate,Male,Govt,1
APP0180,189251,15831,Salaried,37,Married,1,681,0,0.57,261960,1325501,2004769,240,Home,Urban,Undergraduate,Male,Govt,0
APP0181,152659,20125,Salaried,40,Married,1,402,1,0.31,429232,826297,4227683,48,Business,Urban,Graduate,Male,Private,0
APP0182,62782,62451,Business,46,Married,3,788,4,0.54,139266,1581333,3550321,24,Education,Rural,Postgraduate,Male,Self,0
APP0183,80561,45708,Business,39,Married,0,336,3,0.21,299542,307311,3500902,36,Business,Urban,Undergraduate,Male,Govt,0
APP0184,155481,17682,Salaried,32,Married,2,848,1,0.05,271933,780226,2995829,48,Education,Rural,Graduate,Female,Govt,1
APP0185,147159,35794,Self-Employed,41,Married,1,819,1,0.35,483911,1261386,2857979,360,Home,Urban,Undergraduate,Female,Private,1
APP0186,46751,59372,Self-Employed,54,Married,4,632,2,0.11,332111,1854936,609421,84,Education,Urban,Postgraduate,Female,Private,0
APP0187,58174,39477,Self-Employed,27,Married,3,696,1,0.5,245014,1256169,2059885,60,Business,Urban,Graduate,Female,Self,0
APP0188,142678,53863,Salaried,55,Single,3,595,4,0.22,197206,301743,1246886,36,Business,Semi-Urban,Graduate,Female,Govt,0
APP0189,76572,38737,Salaried,35,Single,1,406,3,0.32,266041,409991,3243973,360,Home,Rural,Postgraduate,Female,Private,0
APP0190,81416,2620,Salaried,21,Married,1,829,2,0.1,206958,1377224,1431194,180,Business,Urban,Graduate,Male,Govt,1
APP0191,163113,35057,Business,46,Single,1,382,0,0.22,365981,469134,2374962,180,Education,Urban,Postgraduate,Female,Govt,0
APP0192,174299,40138,Business,55,Single,2,587,0,0.52,161049,70687,3412313,120,Home,Urban,Graduate,Female,Private,0
APP0193,55201,79390,Self-Employed,45,Married,1,760,3,0.14,106967,420020,4302508,36,Education,Semi-Urban,Postgraduate,Male,Private,0
APP0194,56069,53024,Salaried,35,Married,0,514,0,0.44,398345,1944130,4998261,12,Business,Semi-Urban,Graduate,Male,Private,0
APP0195,46370,9677,Salaried,42,Married,4,580,4,0.6,326827,687619,4925239,60,Home,Rural,Undergraduate,Male,Private,0
APP0196,145342,44111,Self-Employed,26,Single,1,758,1,0.46,312475,781085,3084725,12,Education,Semi-Urban,Undergraduate,Male,Private,1
APP0197,162658,24074,Business,35,Single,2,643,3,0.54,253719,1659148,3726862,84,Business,Semi-Urban,Undergraduate,Female,Private,0
APP0198,145758,17824,Business,44,Married,4,493,2,0.12,301770,85227,1382460,120,Business,Urban,Postgraduate,Male,Self,0
APP0199,156394,765,Self-Employed,41,Married,3,457,1,0.2,446719,97556,638162,60,Personal,Rural,Graduate,Male,Private,0
APP0200,85294,45439,Self-Employed,27,Married,1,764,0,0.59,163621,567848,3293389,48,Business,Urban,Postgraduate,Female,Private,0
APP0201,99468,48926,Salaried,49,Married,4,403,0,0.48,17342,289400,2862194,24,Education,Urban,Graduate,Male,Private,0
APP0202,180371,36860,Salaried,52,Married,3,333,2,0.43,303561,1578989,4943864,60,Home,Semi-Urban,Graduate,Male,Private,0
APP0203,110715,12975,Business,52,Single,2,401,4,0.45,212586,1577234,4267274,240,Personal,Semi-Urban,Graduate,Male,Private,0
APP0204,90793,74877,Self-Employed,25,Single,0,624,2,0.3,188321,1053414,3075551,48,Business,Semi-Urban,Graduate,Female,Self,0
APP0205,197573,77870,Salaried,24,Single,1,891,3,0.08,319808,114479,465474,24,Business,Semi-Urban,Postgraduate,Female,Private,0
